Claart,Fecncre,Cant,Clacli,Clatipcli,Numfac
01ALAM,09/10/16,423.0,JURF73,0,ZI001963
01CAL,09/10/16,50.0,JURF73,0,ZI001963
01CEMCAZ50,09/10/16,300.0,JURF73,0,ZI001963
01VAR38,09/10/16,100.0,JURF73,0,ZI001963
01CEMCAZ50,09/10/16,250.0,JURF73,0,ZI002064
01MALSOL10,09/10/16,100.0,JURF73,0,ZI002064
01VAR112,09/10/16,2.0,JURF73,0,ZI002064
01VAR38,09/10/16,100.0,JURF73,0,ZI002064
01ALAM,09/10/16,80.0,JURF73,0,ZI002064
01ALREC,09/10/16,50.0,JURF73,0,ZI002064
01CAL,09/10/16,25.0,JURF73,0,ZI002064
06CLA212,09/10/16,25.0,JURF73,0,ZI002064
01ALAM,09/10/16,40.0,JURF73,0,ZI002074
01ALREC,09/10/16,30.0,JURF73,0,ZI002074
01BLO15,09/10/16,500.0,JURF73,0,ZI002074
01CAL,09/10/16,15.0,JURF73,0,ZI002074
01CEMCAZ50,09/10/16,280.0,JURF73,0,ZI002074
01MALSOL10,09/10/16,80.0,JURF73,0,ZI002074
01VAR112,09/10/16,3.0,JURF73,0,ZI002074
01VAR38,09/10/16,60.0,JURF73,0,ZI002074
06CLA212,09/10/16,15.0,JURF73,0,ZI002074
01LAD,09/10/16,4500.0,JURF73,0,ZI002124
01ALAM,09/10/16,50.0,JURF73,0,ZI002130
01ALREC,09/10/16,20.0,JURF73,0,ZI002130
01CEMCAZ50,09/10/16,25.0,JURF73,0,ZI002130
01LAD,09/10/16,1500.0,JURF73,0,ZI002130
01VAR38,09/10/16,15.0,JURF73,0,ZI002130
06CLA212,09/10/16,6.0,JURF73,0,ZI002130
01ALREC,09/10/16,100.0,JURF73,0,ZI002135
01CEMCAZ50,09/10/16,70.0,JURF73,0,ZI002135
01SON30,09/10/16,16.0,JURF73,0,ZI002135
01VAR112,09/10/16,6.0,JURF73,0,ZI002135
01VAR34,09/10/16,50.0,JURF73,0,ZI002135
01VAR38,09/10/16,110.0,JURF73,0,ZI002135
01ALREC,10/03/16,209.8,MRS2043,0,ZI002652
05VALER112,10/03/16,1.0,MRS2043,0,ZI002652
05VALER2,10/03/16,1.0,MRS2043,0,ZI002652
01CEMCAZ50,10/04/16,600.0,MCS85,4,ZI002615
01CEMCAZ50,10/05/16,60.0,MCS85,4,ZI001412
01CEMCAZ50,10/05/16,210.0,MCS85,4,ZI001520
01ALAM,10/05/16,120.0,MCS85,4,ZI001521
01CEMCAZ50,10/05/16,320.0,MCS85,4,ZI001521
01MALSOL6,10/05/16,100.0,MCS85,4,ZI001521
01VAR38,10/05/16,20.0,MCS85,4,ZI001521
01CEMCAZ50,10/05/16,45.0,MCS85,4,ZI001656
01CEMCAZ50,10/05/16,120.0,MCS85,4,ZI002069
01CEMCAZ50,10/05/16,280.0,MCS85,4,ZI002145
01CEMCAZ50,10/05/16,300.0,MCS85,4,ZI002209
01CEMCAZ50,10/05/16,320.0,MCS85,4,ZI002298
03ANG3161,10/05/16,31.8,MCS85,4,ZI002389
01CEMCAZ50,10/05/16,150.0,MCS85,4,ZI002394
01ALAM,10/05/16,350.0,MCS85,4,ZI002414
01ALREC,10/05/16,100.0,MCS85,4,ZI002414
01CEMCAZ50,10/05/16,300.0,MCS85,4,ZI002414
01VAR38,10/05/16,60.0,MCS85,4,ZI002414
03POL46,10/05/16,300.0,MCS85,4,ZI002490
01CEMCAZ50,10/05/16,320.0,MCS85,4,ZI002512
01CEMCAZ50,10/05/16,400.0,MCS85,4,ZI002530
01CEMCAZ50,10/05/16,360.0,MCS85,4,ZI002570
01CEMCAZ50,10/05/16,200.0,MCS85,4,ZI002616
01CEMCAZ50,10/05/16,100.0,MCS85,4,ZI002723
01CEMCAZ50,10/08/16,300.0,MCS85,4,ZI000448
01CEMCAZ50,10/08/16,300.0,MCS85,4,ZI000483
01CEMCAZ50,10/08/16,300.0,MCS85,4,ZI000506
01CEMCAZ50,10/08/16,120.0,MCS85,4,ZI000889
01CEMCAZ50,10/08/16,150.0,MCS85,4,ZI001156
01PW3000,10/10/16,1.0,MRS2043,0,ZI002880
01BAB1030,13/10/16,462.0,PEJE72,4,ZI002972
01VAR112,14/10/16,50.0,GOAP79,0,ZI002699
06POLH2,21/10/16,500.0,HEMF74,0,ZI002609
05ADAPMPH12,21/10/16,20.0,ZUTL81,1,ZI002893
01CEMCAZ50,28/10/16,80.0,JURF73,0,ZI002997
08POL12,27/10/16,100.0,LOOA941,0,ZI003262
03LAP101268,11/03/16,70.0,AHU01,4,ZI003044
04HPPB141,11/03/16,840.0,AHU01,4,ZI003044
01CEMCAZ50,11/03/16,80.0,AHU01,4,ZI002405
03POL1010,11/03/16,2588.0,AHU01,4,ZI002901
03POL1214,11/03/16,564.0,AHU01,4,ZI002901
05TANB,11/03/16,5.0,AHU01,4,ZI002902
05TAZB,11/03/16,5.0,AHU01,4,ZI002902
01CEMCAZ50,11/04/16,6.0,RODH66,6,ZI003351
01CAL,11/05/16,100.0,SPL96,1,ZI002629
03SOL182,11/11/16,368.0,EAGI80,4,ZI002509
01ALREC,27/03/17,4.0,MCS85,4,ZI004915
01ARM204,27/03/17,8.0,MCS85,4,ZI004915
01BLO15,27/03/17,400.0,MCS85,4,ZI004915
08CAB12,27/03/17,20.0,MCS85,4,ZI004915
08CAJCHR,27/03/17,1.0,MCS85,4,ZI004915
08CAJO4R,27/03/17,1.0,MCS85,4,ZI004915
08POL12,27/03/17,7.0,MCS85,4,ZI004915
GTRAS,27/03/17,1.0,MCS85,4,ZI004915
01CEMCAZ50,27/03/17,25.0,MCS85,4,ZI004915
01MALSOL10,27/03/17,16.0,MCS85,4,ZI004915
01VAR38,27/03/17,17.0,MCS85,4,ZI004915
0647350,27/03/17,1.0,MCS85,4,ZI004915
067593,27/03/17,1.0,MCS85,4,ZI004915
06CLA212,27/03/17,2.0,MCS85,4,ZI004915
01ALAM,15/11/16,400.0,HEGI83,4,ZI002767
01ALREC,15/11/16,50.0,HEGI83,4,ZI002767
01CEMBIG,15/11/16,6.0,HEGI83,4,ZI002767
01VAR38,15/11/16,15.0,HEGI83,4,ZI002767
01CEMBIG,15/11/16,6.0,HEGI83,4,ZI002846
01ALREC,15/11/16,71.4,HEGI83,4,ZI002925
01CEMBIG,15/11/16,16.0,HEGI83,4,ZI002925
03PTR210,15/11/16,3040.0,HEGI83,4,ZI002949
01CAL,15/11/16,3.0,HEGI83,4,ZI002953
01CEMBIG,15/11/16,6.0,HEGI83,4,ZI002953
01BLO15,15/11/16,400.0,HEGI83,4,ZI002955
06PL4,15/11/16,10.2,HEGI83,4,ZI002960
01BLO15,15/11/16,400.0,HEGI83,4,ZI002964
01BLO15,15/11/16,700.0,HEGI83,4,ZI002980
01VAR112,16/11/16,4.0,MAR03,1,ZI002626
01VAR34,16/11/16,6.0,MAR03,1,ZI002626
03PL31058,25/11/16,360.0,OEMI,1,ZI002554
03S126,25/11/16,188.0,OEMI,1,ZI002554
03TC1414,25/11/16,6.0,OEMI,1,ZI002554
01CEMCAZ50,14/12/16,400.0,EAGI80,4,ZI003114
03PTR11211,14/12/16,114.0,JURF73,0,ZI003007
03PTR210,14/12/16,58.0,JURF73,0,ZI003007
01TAR,17/12/16,10.0,HEGI83,4,ZI000898
01TAR,17/12/16,8.0,HEGI83,4,ZI000935
01CEMCAZ50,01/02/17,50.0,TAC1503,0,ZI004318
01CEMCAZ50,01/02/17,50.0,TAC1503,0,ZI004371
01VAR38,01/02/17,20.0,TAC1503,0,ZI004371
01CEMCAZ50,01/02/17,100.0,TAC1503,0,ZI004450
01VAR38,01/02/17,20.0,TAC1503,0,ZI004494
01CEMCAZ50,01/03/17,400.0,MCS85,4,ZI004383
01ALAM,28/12/16,100.0,MCS85,4,ZI003954
01ALREC,28/12/16,50.0,MCS85,4,ZI003954
01CEMCAZ50,28/12/16,120.0,MCS85,4,ZI003954
01CEMCAZ50,29/12/16,48.0,MCS85,4,ZI003904
01BAB1030,29/12/16,1675.84,SIGR76,4,ZI003926
MATV,01/02/17,1.0,BARA74,0,ZI004782
01CEMBIG,16/01/17,8.0,DDI12V,0,ZI004491
01MS135305,23/01/17,192.0,EAGI80,4,ZI004515
01VAR38,23/01/17,2.0,EAGI80,4,ZI004515
04HSO1318,23/01/17,60.0,EAGI80,4,ZI004515
01CEMCAZ50,02/02/17,280.0,MCS85,4,ZI005190
01ALREC,02/02/17,2.5,MCS85,4,ZI005237
01BLO15,02/02/17,1.0,MCS85,4,ZI005237
01CEMCAZ50,02/02/17,12.0,MCS85,4,ZI005237
01VAR112,02/02/17,22.0,MCS85,4,ZI005237
0619372,15/02/17,2.0,RME15,0,ZI005461
01CAL,18/02/17,2.0,01INECMEC,0,ZI005490
01CEMCAZ50,27/02/17,290.0,MRS1987,8,ZI005115
03LA10126450,24/02/17,24.0,PAP07,4,ZI003326
03LG31022,24/02/17,1.0,PAP07,4,ZI003326
03POL46,24/02/17,580.0,PAP07,4,ZI003326
03SOL14112,24/02/17,60.0,PAP07,4,ZI003326
04HDCM14,24/02/17,4.0,PAP07,4,ZI003326
04HPPB14112,24/02/17,200.0,PAP07,4,ZI003326
04HSI2110,24/02/17,4.0,PAP07,4,ZI003326
06REVC,24/02/17,1.0,PAP07,4,ZI003511
01ARM1543,24/02/17,20.0,PAP07,4,ZI003710
01VAR112,24/02/17,100.0,PAP07,4,ZI004844
01VAR38,24/02/17,200.0,PAP07,4,ZI004844
01CEMCAZ50,24/02/17,150.0,PAP07,4,ZI005122
0611752,24/02/17,2.0,PAP07,4,ZI005122
06CARR6,24/02/17,2.0,PAP07,4,ZI005122
06PALT,24/02/17,8.0,PAP07,4,ZI005122
01CEMCAZ50,24/02/17,150.0,PAP07,4,ZI005123
01ALREC,27/02/17,30.0,MRS4000,0,ZI005058
01CEMCAZ50,27/02/17,60.0,MRS4000,0,ZI005058
01EST123,27/02/17,54.4,MRS4000,0,ZI005058
01EST1515,27/02/17,17.6,MRS4000,0,ZI005058
01VAR38,27/02/17,50.0,MRS4000,0,ZI005058
01YEM,27/02/17,20.0,MRS4000,0,ZI005058
01CEMCAZ50,27/02/17,20.0,MRS4000,0,ZI005243
06CONCR,03/10/17,13.0,OSC11,0,ZI005591
01VAR34,03/08/17,60.0,EAGI80,4,ZI005202
01ARM204,03/10/17,100.0,AHU01,4,ZI004205
01CAL,03/10/17,40.0,AHU01,4,ZI004205
01CEMCAZ50,03/10/17,100.0,AHU01,4,ZI004205
01ARM204,03/10/17,100.0,AHU01,4,ZI004851
01CEMCAZ50,03/10/17,60.0,AHU01,4,ZI004851
01ALREC,27/03/17,8.0,MCS85,4,ZI005327
01ARM204,27/03/17,16.0,MCS85,4,ZI005327
01BLO15,27/03/17,800.0,MCS85,4,ZI005327
01CEMCAZ50,27/03/17,50.0,MCS85,4,ZI005327
01MALSOL10,27/03/17,32.0,MCS85,4,ZI005327
01VAR38,27/03/17,34.0,MCS85,4,ZI005327
0646050,27/03/17,40.0,MCS85,4,ZI005327
067593,27/03/17,2.0,MCS85,4,ZI005327
06CLA212,27/03/17,4.0,MCS85,4,ZI005327
08CAJCHR,27/03/17,2.0,MCS85,4,ZI005327
08CAJO4R,27/03/17,2.0,MCS85,4,ZI005327
08CONPDAB,27/03/17,2.0,MCS85,4,ZI005327
08POL12,27/03/17,14.0,MCS85,4,ZI005327
GTRAS,27/03/17,2.0,MCS85,4,ZI005327
01BLO15,22/03/17,700.0,MRS2043,0,ZI006032
GTRAS,22/03/17,1.0,MRS2043,0,ZI006032
01CEMBC,24/03/17,6.0,OIOA63,9,ZI006082
01ALREC,27/03/17,8.0,MCS85,4,ZI005338
01ARM204,27/03/17,16.0,MCS85,4,ZI005338
01BLO15,27/03/17,800.0,MCS85,4,ZI005338
01CEMCAZ50,27/03/17,50.0,MCS85,4,ZI005338
01MALSOL10,27/03/17,32.0,MCS85,4,ZI005338
01VAR38,27/03/17,34.0,MCS85,4,ZI005338
067593,27/03/17,2.0,MCS85,4,ZI005338
06CLA212,27/03/17,4.0,MCS85,4,ZI005338
08CAB12,27/03/17,40.0,MCS85,4,ZI005338
08CAJCHR,27/03/17,2.0,MCS85,4,ZI005338
08CAJO4R,27/03/17,2.0,MCS85,4,ZI005338
08CONPDAB,27/03/17,2.0,MCS85,4,ZI005338
08POL12,27/03/17,14.0,MCS85,4,ZI005338
GTRAS,27/03/17,2.0,MCS85,4,ZI005338
01ALREC,27/03/17,8.0,MCS85,4,ZI005366
01ARM204,27/03/17,16.0,MCS85,4,ZI005366
01BLO15,27/03/17,800.0,MCS85,4,ZI005366
01CEMCAZ50,27/03/17,50.0,MCS85,4,ZI005366
01MALSOL10,27/03/17,32.0,MCS85,4,ZI005366
01VAR38,27/03/17,34.0,MCS85,4,ZI005366
0646050,27/03/17,40.0,MCS85,4,ZI005366
067593,27/03/17,2.0,MCS85,4,ZI005366
06CLA212,27/03/17,4.0,MCS85,4,ZI005366
08CAJCHR,27/03/17,2.0,MCS85,4,ZI005366
08CAJO4R,27/03/17,2.0,MCS85,4,ZI005366
08CONPDAB,27/03/17,2.0,MCS85,4,ZI005366
08POL12,27/03/17,14.0,MCS85,4,ZI005366
GTRAS,27/03/17,2.0,MCS85,4,ZI005366
01ALREC,27/03/17,8.0,MCS85,4,ZI005412
01ARM204,27/03/17,16.0,MCS85,4,ZI005412
01BLO15,27/03/17,800.0,MCS85,4,ZI005412
01CEMCAZ50,27/03/17,50.0,MCS85,4,ZI005412
01MALSOL10,27/03/17,32.0,MCS85,4,ZI005412
01VAR38,27/03/17,34.0,MCS85,4,ZI005412
0646050,27/03/17,40.0,MCS85,4,ZI005412
067593,27/03/17,2.0,MCS85,4,ZI005412
06CLA212,27/03/17,4.0,MCS85,4,ZI005412
08CAJCHR,27/03/17,2.0,MCS85,4,ZI005412
08CAJO4R,27/03/17,2.0,MCS85,4,ZI005412
08CONPDAB,27/03/17,2.0,MCS85,4,ZI005412
08POL12,27/03/17,14.0,MCS85,4,ZI005412
GTRAS,27/03/17,2.0,MCS85,4,ZI005412
01ALREC,27/03/17,8.0,MCS85,4,ZI005431
01ARM204,27/03/17,16.0,MCS85,4,ZI005431
01BLO15,27/03/17,800.0,MCS85,4,ZI005431
01CEMCAZ50,27/03/17,50.0,MCS85,4,ZI005431
01MALSOL10,27/03/17,32.0,MCS85,4,ZI005431
01VAR38,27/03/17,34.0,MCS85,4,ZI005431
067593,27/03/17,2.0,MCS85,4,ZI005431
06CLA212,27/03/17,4.0,MCS85,4,ZI005431
08CAB12,27/03/17,40.0,MCS85,4,ZI005431
08CAJCHR,27/03/17,2.0,MCS85,4,ZI005431
08CAJO4R,27/03/17,2.0,MCS85,4,ZI005431
08CONPDAB,27/03/17,2.0,MCS85,4,ZI005431
08POL12,27/03/17,14.0,MCS85,4,ZI005431
GTRAS,27/03/17,1.0,MCS85,4,ZI005431
01ALREC,27/03/17,8.0,MCS85,4,ZI005462
01ARM204,27/03/17,16.0,MCS85,4,ZI005462
01BLO15,27/03/17,800.0,MCS85,4,ZI005462
01CEMCAZ50,27/03/17,50.0,MCS85,4,ZI005462
01MALSOL10,27/03/17,32.0,MCS85,4,ZI005462
01VAR38,27/03/17,34.0,MCS85,4,ZI005462
0646050,27/03/17,40.0,MCS85,4,ZI005462
067593,27/03/17,2.0,MCS85,4,ZI005462
06CLA212,27/03/17,4.0,MCS85,4,ZI005462
08CAJCHR,27/03/17,2.0,MCS85,4,ZI005462
08CAJO4R,27/03/17,2.0,MCS85,4,ZI005462
08CONPDAB,27/03/17,2.0,MCS85,4,ZI005462
08POL12,27/03/17,14.0,MCS85,4,ZI005462
GTRAS,27/03/17,2.0,MCS85,4,ZI005462
01ALREC,27/03/17,8.0,MCS85,4,ZI005484
01ARM204,27/03/17,16.0,MCS85,4,ZI005484
01BLO15,27/03/17,800.0,MCS85,4,ZI005484
01CEMCAZ50,27/03/17,50.0,MCS85,4,ZI005484
01MALSOL10,27/03/17,32.0,MCS85,4,ZI005484
01VAR38,27/03/17,34.0,MCS85,4,ZI005484
0646050,27/03/17,40.0,MCS85,4,ZI005484
067593,27/03/17,2.0,MCS85,4,ZI005484
06CLA212,27/03/17,4.0,MCS85,4,ZI005484
08CAJCHR,27/03/17,2.0,MCS85,4,ZI005484
08CAJO4R,27/03/17,2.0,MCS85,4,ZI005484
08CONPDAB,27/03/17,2.0,MCS85,4,ZI005484
08POL12,27/03/17,14.0,MCS85,4,ZI005484
GTRAS,27/03/17,2.0,MCS85,4,ZI005484
01ALREC,27/03/17,8.0,MCS85,4,ZI005485
01ARM204,27/03/17,16.0,MCS85,4,ZI005485
01BLO15,27/03/17,800.0,MCS85,4,ZI005485
01CEMCAZ50,27/03/17,50.0,MCS85,4,ZI005485
01MALSOL10,27/03/17,32.0,MCS85,4,ZI005485
01VAR38,27/03/17,34.0,MCS85,4,ZI005485
0646050,27/03/17,40.0,MCS85,4,ZI005485
067593,27/03/17,2.0,MCS85,4,ZI005485
06CLA212,27/03/17,4.0,MCS85,4,ZI005485
08CAJCHR,27/03/17,2.0,MCS85,4,ZI005485
08CAJO4R,27/03/17,2.0,MCS85,4,ZI005485
08CONPDAB,27/03/17,2.0,MCS85,4,ZI005485
08POL12,27/03/17,14.0,MCS85,4,ZI005485
GTRAS,27/03/17,2.0,MCS85,4,ZI005485
01ALREC,27/03/17,8.0,MCS85,4,ZI005524
01ARM204,27/03/17,16.0,MCS85,4,ZI005524
01BLO15,27/03/17,800.0,MCS85,4,ZI005524
01CEMCAZ50,27/03/17,50.0,MCS85,4,ZI005524
01MALSOL10,27/03/17,32.0,MCS85,4,ZI005524
01VAR38,27/03/17,34.0,MCS85,4,ZI005524
0646050,27/03/17,40.0,MCS85,4,ZI005524
067593,27/03/17,2.0,MCS85,4,ZI005524
06CLA212,27/03/17,4.0,MCS85,4,ZI005524
08CAJCHR,27/03/17,2.0,MCS85,4,ZI005524
08CAJO4R,27/03/17,2.0,MCS85,4,ZI005524
08CONPDAB,27/03/17,2.0,MCS85,4,ZI005524
08POL12,27/03/17,14.0,MCS85,4,ZI005524
GTRAS,27/03/17,2.0,MCS85,4,ZI005524
01ALREC,27/03/17,8.0,MCS85,4,ZI005575
01ARM204,27/03/17,16.0,MCS85,4,ZI005575
01BLO15,27/03/17,800.0,MCS85,4,ZI005575
01CEMCAZ50,27/03/17,50.0,MCS85,4,ZI005575
01MALSOL10,27/03/17,32.0,MCS85,4,ZI005575
01VAR38,27/03/17,34.0,MCS85,4,ZI005575
0646050,27/03/17,40.0,MCS85,4,ZI005575
067593,27/03/17,2.0,MCS85,4,ZI005575
06CLA212,27/03/17,4.0,MCS85,4,ZI005575
08CAJCHR,27/03/17,2.0,MCS85,4,ZI005575
08CAJO4R,27/03/17,2.0,MCS85,4,ZI005575
08CONPDAB,27/03/17,2.0,MCS85,4,ZI005575
08POL12,27/03/17,14.0,MCS85,4,ZI005575
GTRAS,27/03/17,2.0,MCS85,4,ZI005575
01ALREC,27/03/17,8.0,MCS85,4,ZI005624
01ARM204,27/03/17,16.0,MCS85,4,ZI005624
01BLO15,27/03/17,800.0,MCS85,4,ZI005624
01CEMCAZ50,27/03/17,50.0,MCS85,4,ZI005624
01MALSOL10,27/03/17,32.0,MCS85,4,ZI005624
01VAR38,27/03/17,34.0,MCS85,4,ZI005624
0646050,27/03/17,40.0,MCS85,4,ZI005624
067593,27/03/17,2.0,MCS85,4,ZI005624
06CLA212,27/03/17,4.0,MCS85,4,ZI005624
08CAJCHR,27/03/17,2.0,MCS85,4,ZI005624
08CAJO4R,27/03/17,2.0,MCS85,4,ZI005624
08CONPDAB,27/03/17,2.0,MCS85,4,ZI005624
08POL12,27/03/17,14.0,MCS85,4,ZI005624
GTRAS,27/03/17,2.0,MCS85,4,ZI005624
01ARM204,28/03/17,16.0,MUNICIPIO3,4,ZI005512
01BLO15,28/03/17,2050.0,MUNICIPIO3,4,ZI005512
01CEMCAZ50,28/03/17,129.0,MUNICIPIO3,4,ZI005512
01VAR38,28/03/17,5.0,MUNICIPIO3,4,ZI005512
03LA10126400,28/03/17,9.0,MUNICIPIO3,4,ZI005512
03LA10126500,28/03/17,34.0,MUNICIPIO3,4,ZI005512
03LA10126600,28/03/17,8.0,MUNICIPIO3,4,ZI005512
03POL46,28/03/17,320.0,MUNICIPIO3,4,ZI005512
06MACI10150,28/03/17,20.0,MUNICIPIO3,4,ZI005512
01BLO15,28/03/17,450.0,MUNICIPIO3,4,ZI005516
01CEMCAZ50,28/03/17,10.0,MUNICIPIO3,4,ZI005516
03LA10126500,28/03/17,14.0,MUNICIPIO3,4,ZI005516
03POL46,28/03/17,60.0,MUNICIPIO3,4,ZI005516
01CEMBIG,31/03/17,4.0,HEGI83,4,ZI004839
01CEMBIG,31/03/17,4.0,HEGI83,4,ZI004870
03LG41024,31/03/17,7.0,HEGI83,4,ZI004929
04REM1838,31/03/17,500.0,HEGI83,4,ZI004933
03LG41024,31/03/17,3.0,HEGI83,4,ZI004935
04HREM1814,31/03/17,200.0,HEGI83,4,ZI004935
04REM1838,31/03/17,300.0,HEGI83,4,ZI004935
05TUBPVCHC2,31/03/17,10.0,HEGI83,4,ZI004965
0644486,31/03/17,1.0,HEGI83,4,ZI004966
06BICPAL,31/03/17,1.0,HEGI83,4,ZI004966
06CINT12,31/03/17,1.0,HEGI83,4,ZI004966
01BLO15,31/03/17,1200.0,HEGI83,4,ZI004990
